Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.03     0.03  1585310     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  9.53      0.05     0.02  3224381     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  9.53      0.07     0.02  3044765     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  9.53      0.09     0.02  1196373     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  7.14      0.11     0.02  2173033     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  4.76      0.12     0.01  3224381     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  4.76      0.13     0.01  3214610     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  4.76      0.14     0.01  1585310     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  4.76      0.15     0.01   801615     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  4.76      0.16     0.01    78469     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::construct(unsigned int*, unsigned int const&)
  4.76      0.17     0.01    64828     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  4.76      0.18     0.01    53761     0.00     0.00  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  4.76      0.19     0.01    11038     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>, std::_List_iterator<neighbor_t>)
  4.76      0.20     0.01     1376     0.01     0.02  updateArc(AbstractGraph&, unsigned int, unsigned int, int)
  2.38      0.20     0.01  2250580     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  2.38      0.21     0.01  1585310     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  0.00      0.21     0.00  4414888     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  0.00      0.21     0.00  3224381     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  0.00      0.21     0.00  3224381     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.00      0.21     0.00  3170620     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  0.00      0.21     0.00  2841395     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  0.00      0.21     0.00  2058869     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  0.00      0.21     0.00  2042400     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  0.00      0.21     0.00  1676103     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.21     0.00  1585310     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.21     0.00  1585310     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  0.00      0.21     0.00  1585310     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  0.00      0.21     0.00  1585310     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  0.00      0.21     0.00  1585310     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  0.00      0.21     0.00  1585310     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  0.00      0.21     0.00  1585310     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  0.00      0.21     0.00  1585310     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  0.00      0.21     0.00  1239878     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  0.00      0.21     0.00   820261     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.21     0.00   646654     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  0.00      0.21     0.00   641511     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  0.00      0.21     0.00   163324     0.00     0.00  std::_List_const_iterator<neighbor_t>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.21     0.00   161366     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.21     0.00   158872     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.21     0.00   158872     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.21     0.00   158872     0.00     0.00  std::allocator<unsigned int>::allocator<std::_List_node<unsigned int> >(std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.21     0.00   158872     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.21     0.00   158487     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator() const
  0.00      0.21     0.00   156960     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.21     0.00   156938     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.21     0.00   147295     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  0.00      0.21     0.00   142905     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>)
  0.00      0.21     0.00   141598     0.00     0.00  operator==(neighbor_t const&, neighbor_t const&)
  0.00      0.21     0.00   118589     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::~new_allocator()
  0.00      0.21     0.00   118589     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::~allocator()
  0.00      0.21     0.00   106613     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::end()
  0.00      0.21     0.00    81662     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end() const
  0.00      0.21     0.00    81662     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::begin() const
  0.00      0.21     0.00    78469     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::deallocate(std::_List_node<unsigned int>*, unsigned long)
  0.00      0.21     0.00    78469     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::allocate(unsigned long, void const*)
