Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.42      0.08     0.08  5620030     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  7.37      0.15     0.07    73162     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.26      0.20     0.05  8271287     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  5.26      0.25     0.05  4550422     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  5.26      0.30     0.05  4550422     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  4.74      0.35     0.05  9100844     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  4.21      0.39     0.04  9164297     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  3.69      0.42     0.04  9164297     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  3.69      0.46     0.04  5946642     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  3.16      0.49     0.03 12859869     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  3.16      0.52     0.03  4550422     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  3.16      0.55     0.03  4550422     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  3.16      0.58     0.03  3746923     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  3.16      0.61     0.03  9164297     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  2.63      0.63     0.03    63453     0.00     0.01  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  2.11      0.65     0.02  8838067     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  2.11      0.67     0.02  6040794     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  2.11      0.69     0.02  4550422     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  2.11      0.71     0.02  4550422     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  2.11      0.73     0.02  4550422     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  2.11      0.75     0.02  4550422     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  2.11      0.77     0.02  1412095     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  2.11      0.79     0.02      439     0.05     0.88  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  1.58      0.81     0.02  9164297     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  1.58      0.82     0.02  9152843     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  1.05      0.83     0.01  5509588     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  1.05      0.84     0.01  4550422     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  1.05      0.85     0.01  4550422     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  1.05      0.86     0.01   992042     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  1.05      0.87     0.01   148354     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::end()
  1.05      0.88     0.01    73162     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::~_List_base()
  1.05      0.89     0.01    19002     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::difference_type std::__distance<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::input_iterator_tag)
  1.05      0.90     0.01     9709     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::allocator()
  1.05      0.91     0.01     3866     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_clear()
  1.05      0.92     0.01     1680     0.01     0.03  AdjacencyListGraph::updateArc(arc_t const&)
  1.05      0.93     0.01      382     0.03     0.03  AdjacencyListGraph::rmArc(unsigned int, unsigned int)
  0.53      0.94     0.01  4550422     0.00     0.00  neighbor_t::~neighbor_t()
  0.53      0.94     0.01   136615     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::~new_allocator()
  0.53      0.95     0.01    63453     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::allocator<neighbor_t>(std::allocator<neighbor_t> const&)
  0.53      0.95     0.01       26     0.19     3.17  AdjacencyListGraph::_construct(AbstractGraph const&)
  0.00      0.95     0.00  4668934     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.95     0.00  3654218     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  0.00      0.95     0.00  1399252     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  0.00      0.95     0.00  1013475     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.95     0.00   511494     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  0.00      0.95     0.00   499392     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>)
  0.00      0.95     0.00   387162     0.00     0.00  operator==(neighbor_t const&, neighbor_t const&)
  0.00      0.95     0.00   215164     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.95     0.00   214432     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.95     0.00   214432     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.95     0.00   214432     0.00     0.00  std::allocator<unsigned int>::allocator<std::_List_node<unsigned int> >(std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.95     0.00   214432     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.95     0.00   214034     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator() const
  0.00      0.95     0.00   212380     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.95     0.00   212376     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.95     0.00   194340     0.00     0.00  std::_List_const_iterator<neighbor_t>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.95     0.00   136615     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::~allocator()
  0.00      0.95     0.00   106188     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::deallocate(std::_List_node<unsigned int>*, unsigned long)
  0.00      0.95     0.00   106188     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::allocate(unsigned long, void const*)
  0.00      0.95     0.00   106188     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::destroy(unsigned int*)
  0.00      0.95     0.00   106188     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::construct(unsigned int*, unsigned int const&)
  0.00      0.95     0.00   106188     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::max_size() const
  0.00      0.95     0.00   106188     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_node()
