Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.55      0.04     0.04  6090296     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  5.66      0.07     0.03  3025012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  5.66      0.10     0.03  3025012     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  5.66      0.13     0.03  2322169     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  5.66      0.16     0.03    48667     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  3.77      0.18     0.02  8469196     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  3.77      0.20     0.02  6083217     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  3.77      0.22     0.02  6050024     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  3.77      0.24     0.02  5771457     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  3.77      0.26     0.02  3812350     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  3.77      0.28     0.02  3025012     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  3.77      0.30     0.02  3025012     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  3.77      0.32     0.02   346831     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  3.77      0.34     0.02     7079     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<neighbor_t> >, true>::_S_do_it(std::allocator<std::_List_node<neighbor_t> > const&, std::allocator<std::_List_node<neighbor_t> > const&)
  3.77      0.36     0.02     4705     0.00     0.01  AdjacencyListGraph::getWeight(unsigned int, unsigned int) const
  3.77      0.38     0.02      333     0.06     0.58  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  1.89      0.39     0.01  3870821     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  1.89      0.40     0.01  3501242     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  1.89      0.41     0.01  3497747     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  1.89      0.42     0.01  3025012     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  1.89      0.43     0.01  3025012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  1.89      0.44     0.01  3025012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  1.89      0.45     0.01  3025012     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  1.89      0.46     0.01  3025012     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  1.89      0.47     0.01  2408664     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  1.89      0.48     0.01   794593     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  1.89      0.49     0.01   272984     0.00     0.00  operator==(neighbor_t const&, neighbor_t const&)
  1.89      0.50     0.01   140347     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  1.89      0.51     0.01     1269     0.01     0.03  AdjacencyListGraph::updateArc(arc_t const&)
  1.89      0.52     0.01       15     0.67     1.91  generateLevelGraph(AbstractGraph const&, unsigned int, unsigned int)
  0.94      0.53     0.01    40272     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::allocator<neighbor_t>(std::allocator<neighbor_t> const&)
  0.94      0.53     0.01    40272     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_List_impl::_List_impl(std::allocator<std::_List_node<neighbor_t> > const&)
  0.00      0.53     0.00  6090296     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.00      0.53     0.00  6090296     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  0.00      0.53     0.00  6090296     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  0.00      0.53     0.00  5390853     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  0.00      0.53     0.00  3100478     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.53     0.00  3025012     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.53     0.00  3025012     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  0.00      0.53     0.00   805710     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  0.00      0.53     0.00   457366     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.53     0.00   444042     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  0.00      0.53     0.00   336323     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>)
  0.00      0.53     0.00   205990     0.00     0.00  std::vector<edge, std::allocator<edge> >::operator[](unsigned long)
  0.00      0.53     0.00   138900     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.53     0.00   138900     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.53     0.00   138900     0.00     0.00  std::allocator<unsigned int>::allocator<std::_List_node<unsigned int> >(std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.53     0.00   138900     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.53     0.00   138567     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator() const
  0.00      0.53     0.00   137251     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.53     0.00   137244     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.53     0.00   122144     0.00     0.00  std::_List_const_iterator<neighbor_t>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.53     0.00    99497     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::end()
  0.00      0.53     0.00    88939     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::~new_allocator()
  0.00      0.53     0.00    88939     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::~allocator()
  0.00      0.53     0.00    68622     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::deallocate(std::_List_node<unsigned int>*, unsigned long)
  0.00      0.53     0.00    68622     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::allocate(unsigned long, void const*)
  0.00      0.53     0.00    68622     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::destroy(unsigned int*)
  0.00      0.53     0.00    68622     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::construct(unsigned int*, unsigned int const&)
  0.00      0.53     0.00    68622     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::max_size() const
  0.00      0.53     0.00    68622     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_node()
  0.00      0.53     0.00    68622     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_put_node(std::_List_node<unsigned int>*)
  0.00      0.53     0.00    68622     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_create_node(unsigned int const&)
  0.00      0.53     0.00    68622     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_insert(std::_List_iterator<unsigned int>, unsigned int const&)
  0.00      0.53     0.00    66572     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int const&)
  0.00      0.53     0.00    62402     0.00     0.00  std::_List_iterator<unsigned int>::operator*() const
  0.00      0.53     0.00    61072     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end() const
  0.00      0.53     0.00    61072     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::begin() const
  0.00      0.53     0.00    54095     0.00     0.00  AdjacencyListGraph::getNbrVertices() const
  0.00      0.53     0.00    48667     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::new_allocator()
  0.00      0.53     0.00    48667     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_List_impl::~_List_impl()
  0.00      0.53     0.00    48667     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_init()
  0.00      0.53     0.00    48667     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::~_List_base()
  0.00      0.53     0.00    48667     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::~list()
  0.00      0.53     0.00    47702     0.00     0.00  std::_List_iterator<unsigned int>::operator!=(std::_List_iterator<unsigned int> const&) const
  0.00      0.53     0.00    44281     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::begin()
  0.00      0.53     0.00    40272     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<neighbor_t> > const&)
  0.00      0.53     0.00    40272     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::allocator(std::allocator<std::_List_node<neighbor_t> > const&)
  0.00      0.53     0.00    40272     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_List_base(std::allocator<neighbor_t> const&)
  0.00      0.53     0.00    40272     0.00     0.00  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  0.00      0.53     0.00    33193     0.00     0.01  std::list<neighbor_t, std::allocator<neighbor_t> >::list(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
  0.00      0.53     0.00    30032     0.00     0.00  std::_List_const_iterator<unsigned int>::operator*() const
  0.00      0.53     0.00    28912     0.00     0.00  std::_List_iterator<unsigned int>::operator++(int)
  0.00      0.53     0.00    28433     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::begin()
  0.00      0.53     0.00    27324     0.00     0.00  std::_List_const_iterator<unsigned int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.53     0.00    23010     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_erase(std::_List_iterator<unsigned int>)
  0.00      0.53     0.00    21237     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator()
  0.00      0.53     0.00    17463     0.00     0.01  AdjacencyListGraph::getSuccessors(unsigned int) const
  0.00      0.53     0.00    15730     0.00     0.01  AdjacencyListGraph::getPredecessors(unsigned int) const
  0.00      0.53     0.00    14558     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator==(std::_List_const_iterator<neighbor_t> const&) const
  0.00      0.53     0.00    14558     0.00     0.01  std::list<neighbor_t, std::allocator<neighbor_t> >::operator=(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
  0.00      0.53     0.00    14340     0.00     0.00  AdjacencyListGraph::addArc(arc_t const&)
  0.00      0.53     0.00    13662     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::end() const
  0.00      0.53     0.00    13662     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::begin() const
  0.00      0.53     0.00    13321     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::size() const
  0.00      0.53     0.00    13321     0.00     0.00  std::iterator_traits<std::_List_const_iterator<neighbor_t> >::difference_type std::__distance<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::input_iterator_tag)
  0.00      0.53     0.00    13321     0.00     0.00  std::iterator_traits<std::_List_const_iterator<neighbor_t> >::iterator_category std::__iterator_category<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t> const&)
  0.00      0.53     0.00    13321     0.00     0.00  std::iterator_traits<std::_List_const_iterator<neighbor_t> >::difference_type std::distance<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>)
  0.00      0.53     0.00    12876     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::front()
  0.00      0.53     0.00    12417     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::erase(std::_List_iterator<unsigned int>)
  0.00      0.53     0.00    11356     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.53     0.00    11356     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::difference_type std::__distance<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::input_iterator_tag)
  0.00      0.53     0.00    11356     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::iterator_category std::__iterator_category<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int> const&)
