Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.53      0.10     0.10 16457724     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  6.67      0.17     0.07   113269     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.72      0.23     0.06 16556868     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  5.72      0.29     0.06 10713274     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  4.76      0.34     0.05 16556868     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  4.76      0.39     0.05 15166088     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  3.81      0.43     0.04 16556868     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  3.81      0.47     0.04  8228862     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  3.81      0.51     0.04  8228862     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  3.81      0.55     0.04  8228862     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  3.81      0.59     0.04      632     0.06     0.57  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  2.86      0.62     0.03 16542900     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  2.86      0.65     0.03  9618700     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  2.86      0.68     0.03  8228862     0.00     0.00  neighbor_t::~neighbor_t()
  2.38      0.71     0.03 16556868     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  2.38      0.73     0.03  8228862     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  1.91      0.75     0.02 23492479     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  1.91      0.77     0.02 16054048     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  1.91      0.79     0.02 10105055     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  1.91      0.81     0.02  8228862     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  1.91      0.83     0.02  8228862     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  1.91      0.85     0.02  8228862     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  1.91      0.87     0.02  8228862     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  1.91      0.89     0.02    99144     0.00     0.00  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  1.91      0.91     0.02    28599     0.00     0.01  std::list<neighbor_t, std::allocator<neighbor_t> >::operator=(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
