Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.80      0.10     0.10  5318441     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  6.82      0.16     0.06  9893690     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  6.82      0.22     0.06  7238062     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  5.68      0.27     0.05   104876     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.11      0.31     0.05 10728669     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  4.55      0.35     0.04  5318441     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  4.55      0.39     0.04  4588907     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  3.98      0.43     0.04 15238967     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  3.98      0.46     0.04  5318441     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  3.98      0.50     0.04 10728669     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  3.41      0.53     0.03 10728669     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  3.41      0.56     0.03  4483359     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  2.84      0.58     0.03  1960057     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  2.27      0.60     0.02 10714002     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  2.27      0.62     0.02 10492345     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  2.27      0.64     0.02  7379131     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  2.27      0.66     0.02  7044539     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  2.27      0.68     0.02  6738364     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  2.27      0.70     0.02  5497830     0.00     0.00  operator new(unsigned long, void*)
  2.27      0.72     0.02  5318441     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  2.27      0.74     0.02  5318441     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  1.70      0.76     0.02 10728669     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  1.14      0.77     0.01 10636882     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  1.14      0.78     0.01  5318441     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  1.14      0.79     0.01  5318441     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  1.14      0.80     0.01  5318441     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  1.14      0.81     0.01  5318441     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
