Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.00      0.02     0.02   912246     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
 10.00      0.04     0.02   713146     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
 10.00      0.06     0.02    91235     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  7.50      0.08     0.02  1128588     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  5.00      0.09     0.01  2583055     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  5.00      0.10     0.01  1846439     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  5.00      0.11     0.01  1843192     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  5.00      0.12     0.01  1649181     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  5.00      0.13     0.01  1160298     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  5.00      0.14     0.01  1059962     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  5.00      0.15     0.01   912246     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  5.00      0.16     0.01   912246     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  5.00      0.17     0.01   912246     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  5.00      0.18     0.01    27256     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.00      0.19     0.01     3247     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<neighbor_t> >, true>::_S_do_it(std::allocator<std::_List_node<neighbor_t> > const&, std::allocator<std::_List_node<neighbor_t> > const&)
  5.00      0.20     0.01     3247     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_transfer(std::_List_iterator<neighbor_t>, std::_List_iterator<neighbor_t>, std::_List_iterator<neighbor_t>)
  2.50      0.20     0.01  1027515     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  0.00      0.20     0.00  1846439     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  0.00      0.20     0.00  1846439     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  0.00      0.20     0.00  1846439     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  0.00      0.20     0.00  1824492     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  0.00      0.20     0.00  1758369     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.20     0.00   949882     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.20     0.00   912246     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.20     0.00   912246     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  0.00      0.20     0.00   912246     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  0.00      0.20     0.00   912246     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  0.00      0.20     0.00   912246     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  0.00      0.20     0.00   912246     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  0.00      0.20     0.00   912246     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  0.00      0.20     0.00   752247     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  0.00      0.20     0.00   243908     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  0.00      0.20     0.00   237112     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  0.00      0.20     0.00   141825     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.20     0.00   135065     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  0.00      0.20     0.00   103838     0.00     0.00  operator==(neighbor_t const&, neighbor_t const&)
  0.00      0.20     0.00    84919     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>)
  0.00      0.20     0.00    71026     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.20     0.00    70643     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.20     0.00    70643     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.20     0.00    70643     0.00     0.00  std::allocator<unsigned int>::allocator<std::_List_node<unsigned int> >(std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.20     0.00    70643     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.20     0.00    70377     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator() const
  0.00      0.20     0.00    69352     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
