Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.34      0.06     0.06  7634536     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  8.34      0.12     0.06    98004     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  6.95      0.17     0.05 10796828     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  6.95      0.22     0.05  3817268     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  5.56      0.26     0.04  7718676     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  5.56      0.30     0.04  5037340     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  5.56      0.34     0.04  3817268     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  4.17      0.37     0.03  7718676     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  4.17      0.40     0.03  3817268     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  2.78      0.42     0.02  6981722     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  2.78      0.44     0.02  5415512     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  2.78      0.46     0.02  5289951     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  2.78      0.48     0.02  4970928     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  2.78      0.50     0.02  3817268     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  2.78      0.52     0.02  3153450     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  2.78      0.54     0.02  3077975     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  2.78      0.56     0.02     7139     0.00     0.01  AdjacencyListGraph::getWeight(unsigned int, unsigned int) const
  2.78      0.58     0.02      489     0.04     0.61  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  1.39      0.59     0.01  7718676     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  1.39      0.60     0.01  7703846     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  1.39      0.61     0.01  7409245     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  1.39      0.62     0.01  3817268     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  1.39      0.63     0.01  3817268     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  1.39      0.64     0.01  3817268     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  1.39      0.65     0.01  3817268     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  1.39      0.66     0.01  1662540     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  1.39      0.67     0.01  1540973     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  1.39      0.68     0.01   348931     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  1.39      0.69     0.01    84140     0.00     0.00  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  1.39      0.70     0.01    30385     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::operator=(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
  1.39      0.71     0.01       15     0.67     1.96  generateLevelGraph(AbstractGraph const&, unsigned int, unsigned int)
  1.39      0.72     0.01        4     2.50     2.85  flowNetworkGenerator(AbstractGraph&, float, unsigned int, unsigned int)
