Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.12      0.04     0.04  2846840     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  9.09      0.07     0.03  5757897     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  9.09      0.10     0.03  2846840     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  6.06      0.12     0.02  8118317     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  6.06      0.14     0.02  2846840     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  6.06      0.16     0.02  2846840     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  6.06      0.18     0.02     1762     0.01     0.02  AdjacencyListGraph::updateArc(arc_t const&)
  4.55      0.20     0.02  3913425     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  4.55      0.21     0.02  3815871     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  3.03      0.22     0.01  5757897     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  3.03      0.23     0.01  5747895     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  3.03      0.24     0.01  5693680     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  3.03      0.25     0.01  5576589     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  3.03      0.26     0.01  5256260     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  3.03      0.27     0.01  3662698     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  3.03      0.28     0.01  2846840     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  3.03      0.29     0.01  2415503     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  3.03      0.30     0.01   220197     0.00     0.00  std::allocator<unsigned int>::~allocator()
  3.03      0.31     0.01   100949     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end() const
  3.03      0.32     0.01    75428     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  3.03      0.33     0.01      466     0.02     0.24  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  0.00      0.33     0.00  5757897     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  0.00      0.33     0.00  5757897     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.00      0.33     0.00  3531983     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  0.00      0.33     0.00  2968136     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.33     0.00  2846840     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.33     0.00  2846840     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  0.00      0.33     0.00  2846840     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  0.00      0.33     0.00  2846840     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  0.00      0.33     0.00  2846840     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  0.00      0.33     0.00  2846840     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  0.00      0.33     0.00  2345226     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  0.00      0.33     0.00  1005340     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  0.00      0.33     0.00   995370     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  0.00      0.33     0.00   959389     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.33     0.00   939209     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  0.00      0.33     0.00   269222     0.00     0.00  operator==(neighbor_t const&, neighbor_t const&)
  0.00      0.33     0.00   264433     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  0.00      0.33     0.00   255299     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>)
  0.00      0.33     0.00   220197     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.33     0.00   220197     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.33     0.00   220197     0.00     0.00  std::allocator<unsigned int>::allocator<std::_List_node<unsigned int> >(std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.33     0.00   219760     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator() const
  0.00      0.33     0.00   217956     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.33     0.00   217944     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.33     0.00   216835     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.33     0.00   201898     0.00     0.00  std::_List_const_iterator<neighbor_t>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.33     0.00   150388     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::end()
  0.00      0.33     0.00   139645     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::~new_allocator()
  0.00      0.33     0.00   139645     0.00     0.00  std::allocator<std::_List_node<neighbor_t> >::~allocator()
  0.00      0.33     0.00   108972     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::deallocate(std::_List_node<unsigned int>*, unsigned long)
  0.00      0.33     0.00   108972     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::allocate(unsigned long, void const*)
  0.00      0.33     0.00   108972     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::destroy(unsigned int*)
  0.00      0.33     0.00   108972     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::construct(unsigned int*, unsigned int const&)
  0.00      0.33     0.00   108972     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::max_size() const
  0.00      0.33     0.00   108972     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_node()
  0.00      0.33     0.00   108972     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_put_node(std::_List_node<unsigned int>*)
  0.00      0.33     0.00   108972     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_create_node(unsigned int const&)
  0.00      0.33     0.00   108972     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_insert(std::_List_iterator<unsigned int>, unsigned int const&)
  0.00      0.33     0.00   106102     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int const&)
