Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.26      0.03     0.03  5583835     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  7.41      0.05     0.02  5583835     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  7.41      0.07     0.02  3879130     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  7.41      0.09     0.02  1580627     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  7.41      0.11     0.02    84748     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.56      0.12     0.02  5569101     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  3.70      0.13     0.01  5510120     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  3.70      0.14     0.01  5064483     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  3.70      0.15     0.01  3985929     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  3.70      0.16     0.01  3774094     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  3.70      0.17     0.01  2755060     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  3.70      0.18     0.01  2755060     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  3.70      0.19     0.01  2755060     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  3.70      0.20     0.01  2755060     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  3.70      0.21     0.01  2755060     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  3.70      0.22     0.01   219675     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  3.70      0.23     0.01    73715     0.00     0.00  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  3.70      0.24     0.01    28976     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::operator=(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
  3.70      0.25     0.01    14734     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<neighbor_t> >, true>::_S_do_it(std::allocator<std::_List_node<neighbor_t> > const&, std::allocator<std::_List_node<neighbor_t> > const&)
  3.70      0.26     0.01     1719     0.01     0.01  AdjacencyListGraph::updateArc(arc_t const&)
  3.70      0.27     0.01      444     0.02     0.31  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  0.00      0.27     0.00  7797118     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  0.00      0.27     0.00  5583835     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  0.00      0.27     0.00  5583835     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.00      0.27     0.00  5404827     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.27     0.00  3711712     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  0.00      0.27     0.00  2884292     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.27     0.00  2755060     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.27     0.00  2755060     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  0.00      0.27     0.00  2755060     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  0.00      0.27     0.00  2755060     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  0.00      0.27     0.00  2755060     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  0.00      0.27     0.00  2755060     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  0.00      0.27     0.00  2281500     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  0.00      0.27     0.00  2226616     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  0.00      0.27     0.00  1607870     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.27     0.00  1213872     0.00     0.00  std::_List_iterator<neighbor_t>::operator*() const
  0.00      0.27     0.00  1207579     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  0.00      0.27     0.00   262240     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  0.00      0.27     0.00   256742     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::erase(std::_List_iterator<neighbor_t>)
  0.00      0.27     0.00   226877     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.27     0.00   221772     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      0.27     0.00   221772     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.27     0.00   221772     0.00     0.00  std::allocator<unsigned int>::allocator<std::_List_node<unsigned int> >(std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.27     0.00   221772     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.27     0.00   221546     0.00     0.00  std::_List_const_iterator<neighbor_t>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.27     0.00   221375     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator() const
  0.00      0.27     0.00   219656     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
