Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.06      0.17     0.17  6890937     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  7.93      0.30     0.13  6890937     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  5.49      0.39     0.09 13872422     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  4.88      0.47     0.08 13781874     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  4.88      0.55     0.08  8678146     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  4.88      0.63     0.08   105384     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  3.96      0.69     0.07  9160142     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  3.96      0.76     0.07 12555702     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  3.96      0.82     0.07 19489585     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  3.35      0.88     0.06  6890937     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  3.05      0.93     0.05  6890937     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  2.74      0.97     0.05  6890937     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  2.44      1.01     0.04 13872422     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  2.44      1.05     0.04 13359614     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  2.44      1.09     0.04  7067565     0.00     0.00  operator new(unsigned long, void*)
  2.44      1.13     0.04  6890937     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  2.44      1.17     0.04  6890937     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  2.44      1.21     0.04  5690663     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  2.13      1.25     0.04    90548     0.00     0.01  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  2.13      1.28     0.04  8486475     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  1.83      1.31     0.03  6890937     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  1.83      1.34     0.03  6890937     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  1.83      1.37     0.03  5573152     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  1.83      1.40     0.03 13857149     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  1.83      1.43     0.03      554     0.05     1.19  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  1.52      1.46     0.03  9296914     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  1.22      1.48     0.02  1804484     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  1.22      1.50     0.02   728424     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_erase(std::_List_iterator<neighbor_t>)
  1.22      1.52     0.02     2106     0.01     0.04  AdjacencyListGraph::updateArc(arc_t const&)
