Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.41      0.10     0.10 17768632     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  7.56      0.19     0.09  6276601     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  7.56      0.28     0.09   274197     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.88      0.35     0.07 17669787     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  4.20      0.40     0.05 12795700     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  4.20      0.45     0.05 12291217     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  4.20      0.50     0.05  6276601     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  4.20      0.55     0.05    94933     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::difference_type std::__distance<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::input_iterator_tag)
  4.20      0.60     0.05      541     0.09     1.43  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  3.78      0.65     0.05 12795700     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  3.36      0.69     0.04 17632078     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  3.36      0.73     0.04  6276601     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
  2.94      0.76     0.04 12553202     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  2.52      0.79     0.03  6276601     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  2.52      0.82     0.03  6276601     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  1.68      0.84     0.02 10589693     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  1.68      0.86     0.02 10232343     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  1.68      0.88     0.02  6789304     0.00     0.00  operator new(unsigned long, void*)
  1.68      0.90     0.02  6276601     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  1.68      0.92     0.02  5075424     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  1.68      0.94     0.02  4994068     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  1.68      0.96     0.02   334499     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_create_node(unsigned int const&)
  1.68      0.98     0.02   242498     0.00     0.00  void std::list<neighbor_t, std::allocator<neighbor_t> >::_M_initialize_dispatch<std::_List_const_iterator<neighbor_t> >(std::_List_const_iterator<neighbor_t>, std::_List_const_iterator<neighbor_t>, std::__false_type)
  1.68      1.00     0.02   110151     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::operator=(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
  1.26      1.02     0.02 12744171     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  0.84      1.03     0.01 12795700     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.84      1.04     0.01  9838955     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
