Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.73      0.13     0.13    75011     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  7.38      0.24     0.11  6403381     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  6.04      0.33     0.09  7736390     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  5.37      0.41     0.08  6403381     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  4.70      0.48     0.07 12461036     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  4.70      0.55     0.07  8154005     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  4.36      0.62     0.07 12860252     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  4.36      0.68     0.07 12871308     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  3.36      0.73     0.05 12871308     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  3.36      0.78     0.05  8250754     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  3.36      0.83     0.05  6403381     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
  3.36      0.88     0.05  6403381     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  3.02      0.93     0.05 18141052     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  3.02      0.97     0.05 11652194     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  2.69      1.01     0.04 12871308     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  2.69      1.05     0.04      451     0.09     1.29  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  2.35      1.09     0.04 12806762     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  2.01      1.12     0.03 12871308     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  2.01      1.15     0.03  6403381     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  2.01      1.18     0.03  6403381     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  2.01      1.21     0.03  6403381     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  2.01      1.24     0.03  5182234     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  1.34      1.26     0.02  6403381     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_insert(std::_List_iterator<neighbor_t>, neighbor_t const&)
